code;denomination
3.01.01.04.05;Reparos administrativos a empresas mineras otros minerales
3.01.01.04.06;Reparos administrativos a otras personas jurídicas
3.01.01.04.07;Reparos administrativos a empresas mineras del oro
3.01.01.04.08;Reparos administrativos a empresas mineras del diamante
3.01.01.04.09;Reparos administrativos a empresas mineras del carbón
3.01.01.04.10;Reparos administrativos a empresas mineras del cobre
3.01.01.04.11;Reparos administrativos a empresas mineras del tantalio
3.01.01.04.12;Reparos administrativos a empresas mineras del niobio
3.01.01.04.13;Reparos administrativos a empresas mineras de la plata
3.01.01.04.14;Reparos administrativos a empresas mineras del coltán
3.01.01.05.00;Reparos administrativos por impuesto sobre la renta a personas naturales
3.01.01.06.00;Reparos administrativos a impuesto sobre sucesiones, donaciones y demás ramos conexos
3.01.01.07.00;Impuesto al patrimonio
3.01.01.07.01;Impuesto a los grandes patrimonios de personas jurídicas
3.01.01.07.02;Impuesto a los grandes patrimonios de personas naturales
3.01.01.07.03;Reparos administrativos por impuesto a los grandes patrimonios de personas jurídicas
3.01.01.07.04;Reparos administrativos por impuesto a los grandes patrimonios de personas naturales
3.01.01.07.05;Multas y recargos del impuesto a los grandes patrimonios de personas naturales
3.01.01.07.06;Multas y recargos del impuesto a los grandes patrimonios de personas jurídicas
3.01.02.00.00;Impuestos indirectos
3.01.02.01.00;Impuestos de importación
3.01.02.01.01;Impuesto de importación ordinario
3.01.02.01.02;Impuesto de importación de bultos postales
3.01.02.01.03;Impuesto interno por la importación de alcoholes y bebidas alcohólicas
3.01.02.02.00;Impuesto de exportación
3.01.02.03.00;Impuesto sobre la producción, el consumo y transacciones financieras
3.01.02.03.01;Impuesto sobre alcoholes de producción nacional
3.01.02.03.02;Impuesto sobre bebidas alcohólicas de producción nacional
3.01.02.03.03;Impuesto sobre cerveza de producción nacional
3.01.02.03.04;Impuesto sobre vinos de producción nacional
3.01.02.03.05;Impuesto sobre el precio de venta al público de las cervezas y vinos naturales de producción nacional
3.01.02.03.06;Impuesto sobre el precio de venta al público de las cervezas y vinos naturales importados
3.01.02.03.07;Impuesto sobre el precio de venta al público de otras bebidas hasta 50.0° G.L. de producción nacional
3.01.02.03.08;Impuesto sobre el precio de venta al público de otras bebidas hasta 50.0° G.L. importadas
3.01.02.03.09;Impuesto sobre expedición al público de especies alcohólicas importadas
3.01.02.03.10;Impuesto sobre expedición al público de especies alcohólicas nacionales
3.01.02.03.11;Impuesto sobre la venta de cigarrillos, tabacos y picaduras importadas
3.01.02.03.12;Impuesto sobre la venta de cigarrillos, tabacos y picaduras de producción nacional
3.01.02.03.13;Impuesto a la producción de fósforos
3.01.02.03.14;Ventajas especiales por fabricación de fósforos
3.01.02.03.19;Impuesto sobre telecomunicaciones
3.01.02.03.20;Impuesto al valor agregado sobre la importación de bienes y servicios
3.01.02.03.21;Impuesto al valor agregado sobre la producción, distribución y comercialización de bienes y servicios
3.01.02.03.22;Impuesto al valor agregado sobre los hechos imponibles realizados por empresas públicas, institutos autónomos y demás entes descentralizados
3.01.02.03.23;Reparos administrativos a impuestos al valor agregado
3.01.02.03.24;Impuesto al débito bancario
3.01.02.03.25;Reparos administrativos al impuesto al débito bancario
3.01.02.03.27;Impuesto a las grandes transacciones financieras
3.01.02.03.28;Reparos administrativos del impuesto a las grandes transacciones financieras
3.01.02.03.29;Multas y recargos del impuesto a las grandes transacciones financieras
3.01.02.04.00;Impuestos a las actividades de juegos de envite o azar
3.01.02.04.01;Impuestos sobre casinos y salas de bingo
3.01.02.04.02;Impuestos de explotación de máquinas traganíqueles
3.01.02.04.03;Reparos administrativos impuesto casinos, salas de juego y máquinas traganíqueles
3.01.02.04.04;Impuesto a la operación de juegos de lotería
3.01.02.04.05;Impuesto a las apuestas sobre la explotación de espectáculos hípicos
3.01.02.04.06;Impuesto sobre la organización en general de juegos de envite o azar
3.01.02.04.07;Impuesto sobre apuestas deportivas
3.01.02.04.08;Reparos administrativos impuesto a la operación de juegos de lotería, apuestas sobre la explotación de espectáculos hípicos y organización en general de juegos de envite o azar y apuestas deportivas
3.01.02.05.00;Inmuebles urbanos
3.01.02.06.00;Participación en el impuesto a la propiedad rural
3.01.02.07.00;Patente de industria y comercio
3.01.02.08.00;Patente de vehículo
3.01.02.09.00;Propaganda comercial
3.01.02.10.00;Espectáculos públicos
3.01.02.11.00;Apuestas lícitas
3.01.02.12.00;Deudas morosas
3.01.02.99.00;Otros impuestos indirectos
3.01.03.00.00;Ingresos por tasas
3.01.03.01.00;Derechos de tránsito terrestre
3.01.03.02.00;Derechos a examen
3.01.03.03.00;Derechos de expedición, renovación y reválida de licencias
3.01.03.04.00;Derechos de registro y traspaso
3.01.03.05.00;Derechos de placas identificadoras
3.01.03.06.00;Derechos por revisión anual
3.01.03.07.00;Derechos por remoción o arrastre de vehículos
3.01.03.08.00;Derechos por estacionamiento de vehículos
3.01.03.09.00;Permiso para uso de rutas extraurbanas
3.01.03.10.00;Copias de documentos
3.01.03.11.00;Tasas para el uso de aeronaves y por licencias de personal aeronáutico
3.01.03.12.00;Tasas aeroportuarias
3.01.03.13.00;Tasas por uso de canales de navegación
3.01.03.14.00;Patente de navegación
3.01.03.15.00;Expedición de licencias de navegación
3.01.03.16.00;Servicio de telecomunicaciones
3.01.03.17.00;Permisos para estaciones privadas de radiocomunicaciones
3.01.03.18.00;Derechos de pilotajes
3.01.03.19.00;Habilitación de pilotaje
3.01.03.20.00;Servicios de remolcadores
3.01.03.21.00;Habilitación de remolcadores
3.01.03.22.00;Habilitación de capitanías de puerto
3.01.03.23.00;Otros servicios de capitanías de puerto
3.01.03.24.00;Tasas de faros y boyas
3.01.03.25.00;Servicios de aduana
3.01.03.26.00;Habilitación de aduanas
3.01.03.27.00;Derechos de almacenaje
3.01.03.28.00;Corretaje de bultos postales
3.01.03.29.00;Servicios de consulta sobre clasificación arancelaria, valoración aduanera y análisis de laboratorio
3.01.03.30.00;Bandas de garantía, cápsulas y sellos
3.01.03.31.00;Servicio de peaje
3.01.03.32.00;Servicio de riego y drenaje
3.01.03.33.00;Estampillas fiscales
3.01.03.34.00;Papel sellado
3.01.03.35.00;Derechos de traslado
3.01.03.36.00;Servicios sanitarios marítimos
3.01.03.37.00;Servicios hospitalarios
3.01.03.38.00;Venta de copias de planos
3.01.03.39.00;Derechos de contraste, verificación y estudios
3.01.03.40.00;Patente de pesca de perlas
3.01.03.41.00;Licencia de caza
3.01.03.42.00;Derechos de cancillería
3.01.03.43.00;Depósitos por el ingreso al país de extranjeros
3.01.03.44.00;Registro sanitario
3.01.03.45.00;Derechos de análisis de sustancias químicas
3.01.03.46.00;Derechos consulares
3.01.03.47.00;Matrícula para importar y exportar sustancias estupefacientes y psicotrópicas
3.01.03.48.00;Permisos municipales
3.01.03.49.00;Certificaciones y solvencias
3.01.03.50.00;Servicio de energía eléctrica
3.01.03.51.00;Servicio de distribución de agua
3.01.03.52.00;Servicio de gas doméstico
3.01.03.53.00;Mensura y deslinde
3.01.03.54.00;Aseo domiciliario
3.01.03.55.00;Matadero
3.01.03.56.00;Mercado
3.01.03.57.00;Cementerio
3.01.03.58.00;Terminal de pasajeros
3.01.03.59.00;Deudas morosas por tasas
3.01.03.60.00;Tasas a la prestación del servicio turístico
3.01.03.60.01;Tasas por solicitudes de registro y de operatividad
3.01.03.60.02;Tasas por aprobación de registro y de operatividad
3.01.03.60.98;Otras tasas a la prestación del servicio turístico
3.01.03.99.00;Otros tipos de tasas
3.01.04.00.00;Ingresos por contribuciones especiales
3.01.04.01.00;Sobre la plusvalía inmobiliaria
3.01.04.02.00;Contribuciones por mejoras
3.01.04.99.00;Otras contribuciones especiales
3.01.05.00.00;Ingresos por aportes y contribuciones a la seguridad social
3.01.05.01.00;Ingresos por aportes patronales a la seguridad social
3.01.05.01.01;Ingresos por aportes del sector privado
3.01.05.01.02;Ingresos por aportes del sector público
3.01.05.02.00;Contribuciones personales a la seguridad social
3.01.05.02.01;Contribuciones del sector privado
3.01.05.02.02;Contribuciones del sector público
3.01.07.00.00;Ingresos del dominio minero
3.01.07.01.00;Superficial minero
3.01.07.01.01;Superficial sobre hierro
3.01.07.01.03;Superficial sobre otros minerales
3.01.07.01.04;Superficial sobre el oro
3.01.07.01.05;Superficial sobre el diamante
3.01.07.01.06;Superficial sobre el carbón
3.01.07.01.07;Superficial sobre el cobre
3.01.07.01.08;Superficial sobre el tantalio
3.01.07.01.09;Superficial sobre el niobio
3.01.07.01.10;Superficial sobre la plata
3.01.07.01.11;Superficial sobre el coltán
3.01.07.02.00;Impuesto de explotación
3.01.07.02.01;Impuesto de explotación sobre hierro
3.01.07.02.04;Impuesto de explotación sobre otros minerales
3.01.07.02.05;Impuesto de explotación sobre el oro
3.01.07.02.06;Impuesto de explotación sobre el diamante
3.01.07.02.07;Impuesto de explotación sobre el carbón
3.01.07.02.08;Impuesto de explotación sobre el cobre
3.01.07.02.09;Impuesto de explotación sobre el tantalio
3.01.07.02.10;Impuesto de explotación sobre el niobio
3.01.07.02.11;Impuesto de explotación sobre la plata
3.01.07.02.12;Impuesto de explotación sobre el coltán
3.01.07.03.00;Ventajas especiales mineras
3.01.07.03.01;Ventajas especiales mineras sobre el oro
3.01.07.03.02;Ventajas especiales mineras sobre el diamante
3.01.07.03.03;Ventajas especiales mineras sobre el carbón
3.01.07.03.04;Ventajas especiales mineras sobre el cobre
3.01.07.03.05;Ventajas especiales mineras sobre el tantalio
3.01.07.03.06;Ventajas especiales mineras sobre el niobio
3.01.07.03.07;Ventajas especiales mineras sobre la plata
3.01.07.03.08;Ventajas especiales mineras sobre el coltán
3.01.07.03.09;Ventajas especiales mineras sobre otros minerales
3.01.07.05.00;Regalías mineras
3.01.07.05.01;Regalía minera sobre el oro
3.01.07.05.02;Regalía minera sobre el diamante
3.01.07.05.03;Regalía minera sobre el carbón
3.01.07.05.04;Regalía minera sobre el cobre
3.01.07.05.05;Regalía minera sobre el tantalio
3.01.07.05.06;Regalía minera sobre el niobio
3.01.07.05.07;Regalía minera sobre la plata
3.01.07.05.08;Regalía minera sobre el coltán
3.01.07.05.09;Regalía minera sobre otros minerales
3.01.08.00.00;Ingresos del dominio forestal
3.01.08.01.00;Impuesto superficial
3.01.08.02.00;Impuesto de explotación o aprovechamiento
3.01.08.03.00;Permiso o autorización para la explotación o aprovechamiento de los productos forestales
3.01.08.04.00;Autorización para deforestación
3.01.08.05.00;Autorización para movilizar productos forestales
3.01.08.06.00;Participación por la explotación en zonas de reserva forestal
3.01.08.07.00;Ventajas especiales por recursos forestales
3.01.09.00.00;Ingresos por la venta de bienes y servicios de la administración pública
3.01.09.01.00;Ingresos por la venta de bienes
3.01.09.01.01;Ingresos por la venta de gacetas municipales y formularios
3.01.09.01.02;Ingresos por la venta de publicaciones oficiales y formularios
3.01.09.02.00;Ingresos por la venta de servicios
3.01.09.02.01;Ingresos por la venta de productos de lotería
3.01.09.99.00;Ingresos por la venta de otros bienes y servicios
3.01.10.00.00;Ingresos de la propiedad
3.01.10.01.00;Intereses por préstamos concedidos al sector privado
3.01.10.02.00;Intereses por préstamos concedidos al sector público
3.01.10.02.01;Intereses por préstamos concedidos a la República
3.01.10.02.02;Intereses por préstamos concedidos a entes descentralizados sin fines empresariales
3.01.10.02.03;Intereses por préstamos concedidos a instituciones de protección social
3.01.10.02.04;Intereses por préstamos concedidos a entes descentralizados con fines empresariales petroleros
3.01.10.02.05;Intereses por préstamos concedidos a entes descentralizados con fines empresariales no petroleros
3.01.10.02.06;Intereses por préstamos concedidos a entes descentralizados financieros bancarios
3.01.10.02.07;Intereses por préstamos concedidos a entes descentralizados financieros no bancarios
3.01.10.02.08;Intereses por préstamos concedidos al Poder Estadal
3.01.10.02.09;Intereses por préstamos concedidos al Poder Municipal
3.01.10.03.00;Intereses por préstamos concedidos al sector externo
3.01.10.04.00;Intereses por depósitos en instituciones financieras
3.01.10.04.01;Intereses por depósitos a la vista
3.01.10.04.02;Intereses por depósitos a plazo fijo
3.01.10.05.00;Intereses de títulos y valores
3.01.10.05.01;Intereses de títulos y valores privados
3.01.10.05.02;Intereses de títulos y valores públicos
3.01.10.05.03;Intereses de títulos y valores externos
3.01.10.07.00;Utilidades de explotación de juegos de azar
3.01.10.07.01;Utilidades de explotación de juegos de azar por concesiones
3.01.10.07.02;Utilidades de explotación de juegos de azar de empresas públicas
3.01.10.08.00;Alquileres
3.01.10.08.01;Alquileres de edificios y locales
3.01.10.08.02;Alquileres de tierras y terrenos
3.01.10.08.03;Alquileres de instalaciones culturales y recreativas
3.01.10.08.04;Alquileres de máquinas y demás equipos de construcción, campo, industria y taller
3.01.10.08.05;Alquileres de equipos de transporte, tracción y elevación
3.01.10.08.06;Alquileres de equipos de telecomunicaciones y señalamiento
3.01.10.08.07;Alquileres de equipos médico – quirúrgicos, dentales y de veterinaria
3.01.10.08.08;Alquileres de equipos científicos, de enseñanza y recreación
3.01.10.08.09;Alquileres de máquinas, muebles y demás equipos de oficina y alojamiento
3.01.10.08.99;Alquileres de otros bienes
3.01.10.09.00;Derechos sobre bienes intangibles
3.01.10.09.01;Marcas de fábrica y patentes de invención
3.01.10.09.02;Derechos de autor
3.01.10.09.03;Paquetes y programas de computación
3.01.10.10.00;Concesiones de bienes y servicios
3.01.11.00.00;Diversos ingresos
3.01.11.01.00;Intereses moratorios
3.01.11.02.00;Reparos fiscales
3.01.11.03.00;Sanciones fiscales
3.01.11.04.00;Juicios y costas procesales
3.01.11.04.01;Ingresos por el principal en sentencias judiciales
3.01.11.04.02;Costas procesales varias
3.01.11.04.03;Responsabilidad fiscal
3.01.11.04.04;Otras disposiciones legales
3.01.11.04.05;Indemnización por incumplimiento de contratos
3.01.11.04.06;Juicios y costas procesales por impuesto sobre la renta
3.01.11.06.00;Utilidad por venta de activos
3.01.11.07.00;Intereses por financiamiento de deudas tributarias
3.01.11.08.00;Multas y recargos
3.01.11.09.00;Reparos administrativos al impuesto a los activos empresariales
3.01.11.10.00;Diversos reparos administrativos
3.01.11.11.00;Ingresos en tránsito
3.01.11.12.00;Reparos administrativos por impuestos municipales
3.01.12.00.00;Ingresos sobre el dominio de la actividad turística
3.01.12.01.00;Contribución especial por la prestación del servicio turístico
3.01.12.98.00;Otros ingresos percibidos por la explotación de la actividad turística
3.01.99.00.00;Otros ingresos ordinarios
3.01.99.01.00;Otros ingresos ordinarios
3.02.00.00.00;INGRESOS EXTRAORDINARIOS
3.02.01.00.00;Endeudamiento público interno
3.02.01.01.00;Colocación de títulos y valores de deuda pública interna a corto plazo
3.02.01.01.01;Colocación de bonos a corto plazo
3.02.01.01.02;Colocación de letras del tesoro a corto plazo
3.02.01.02.00;Obtención de préstamos internos a corto plazo
3.02.01.02.01;Obtención de préstamos del sector privado a corto plazo
3.02.01.02.02;Obtención de préstamos de la República a corto plazo
3.02.01.02.03;Obtención de préstamos de los entes descentralizados sin fines empresariales a corto plazo
3.02.01.02.04;Obtención de préstamos de las instituciones de protección social a corto plazo
3.02.01.02.05;Obtención de préstamos de los entes descentralizados con fines empresariales petroleros a corto plazo
3.02.01.02.06;Obtención de préstamos de los entes descentralizados con fines empresariales no petroleros a corto plazo
3.02.01.02.07;Obtención de préstamos de entes descentralizados financieros bancarios a corto plazo
3.02.01.02.08;Obtención de préstamos de entes descentralizados financieros no bancarios a corto plazo
3.02.01.02.09;Obtención de préstamos del Poder Estadal a corto plazo
3.02.01.02.10;Obtención de préstamos del Poder Municipal a corto plazo
3.02.01.03.00;Colocación de títulos y valores de la deuda pública interna a largo plazo
3.02.01.03.01;Colocación de bonos a largo plazo
3.02.01.03.02;Colocación de letras del tesoro a largo plazo
3.02.01.04.00;Obtención de préstamos internos a largo plazo
3.02.01.04.01;Obtención de préstamos del sector privado a largo plazo
3.02.01.04.02;Obtención de préstamos de la República a largo plazo
3.02.01.04.03;Obtención de préstamos de los entes descentralizados sin fines empresariales a largo plazo
3.02.01.04.04;Obtención de préstamos de las instituciones de protección social a largo plazo
3.02.01.04.05;Obtención de préstamos de los entes descentralizados con fines empresariales petroleros a largo plazo
3.02.01.04.06;Obtención de préstamos de los entes descentralizados con fines empresariales no petroleros a largo plazo
3.02.01.04.07;Obtención de préstamos de entes descentralizados financieros bancarios a largo plazo
3.02.01.04.08;Obtención de préstamos de entes descentralizados financieros no bancarios a largo plazo
3.02.01.04.09;Obtención de préstamos del Poder Estadal a largo plazo
3.02.01.04.10;Obtención de préstamos del Poder Municipal a largo plazo
3.02.02.00.00;Endeudamiento público externo
3.02.02.01.00;Colocación de títulos y valores de la deuda pública externa a corto plazo
3.02.02.02.00;Obtención de préstamos externos a corto plazo
3.02.02.02.01;Obtención de préstamos de gobiernos extranjeros a corto plazo
3.02.02.02.02;Obtención de préstamos de organismos internacionales a corto plazo
3.02.02.02.03;Obtención de préstamos de instituciones financieras externas a corto plazo
3.02.02.02.04;Obtención de préstamos de proveedores de bienes y servicios externos a corto plazo
3.02.02.03.00;Colocación de títulos y valores de la deuda pública externa a largo plazo
3.02.02.04.00;Obtención de préstamos externos a largo plazo
3.02.02.04.01;Obtención de préstamos de gobiernos extranjeros a largo plazo
3.02.02.04.02;Obtención de préstamos de organismos internacionales a largo plazo
3.02.02.04.03;Obtención de préstamos de instituciones financieras externas a largo plazo
3.02.02.04.04;Obtención de préstamos de proveedores de bienes y servicios externos a largo plazo
3.02.03.00.00;Ingresos por operaciones diversas
3.02.03.01.00;Liquidación de entes descentralizados
3.02.03.02.00;Herencias vacantes y donaciones
3.02.03.03.00;Prima en colocación de títulos y valores de la deuda pública
3.02.03.05.00;Ingresos por procesos licitatorios
3.02.03.05.01;Cuotas por participación
3.02.03.05.02;Bonos de desempate
3.02.03.05.99;Otros ingresos por procesos licitatorios 
3.02.03.06.00;Beneficios en operaciones cambiarias
3.02.04.00.00;Reintegro de fondos correspondientes a ejercicios económico financieros anteriores
3.02.04.01.00;Reintegro proveniente de bonos de exportación
3.02.04.02.00;Reintegro de fondos efectuado por organismos públicos proveniente de bonos de exportación
3.02.04.04.00;Reintegro de particulares
3.02.05.00.00;Ingresos por obtención indebida de devoluciones o reintegros
3.02.05.01.00;Ingresos por obtención indebida de devoluciones o reintegros Otros
3.02.05.02.00;Ingresos por obtención indebida de devoluciones o reintegros
3.02.06.00.00;Impuesto a las transacciones financieras
3.02.06.02.00;Reparos administrativos al impuesto a las transacciones financieras
3.02.06.03.00;Multas y recargos por el impuesto a las transacciones financieras
3.02.07.00.00;Utilidades de acciones y participaciones de capital
3.02.07.01.00;Utilidades de acciones y participaciones de capital del sector privado empresarial
3.02.07.02.00;Utilidades de acciones y participaciones de capital de entes descentralizados con fines empresariales petroleros – dividendos de Petróleos de Venezuela, S.A (Pdvsa)
3.02.07.03.00;Utilidades de acciones y participaciones de capital de entes descentralizados con fines empresariales petroleros – otras empresas petroleras
3.02.07.04.00;Utilidades de acciones y participaciones de capital de entes descentralizados con fines empresariales no petroleros
3.02.07.05.00;Utilidades de acciones y participaciones de capital de entes descentralizados financieros bancarios
3.02.07.06.00;Utilidades de acciones y participaciones de capital de entes descentralizados financieros no bancarios
3.02.07.07.00;Utilidades de acciones y participaciones de capital de organismos internacionales
3.02.07.08.00;Utilidades de acciones y participaciones de capital de otros entes del sector externo
3.02.07.09.00;Utilidades netas semestrales Banco Central de Venezuela (BCV)
3.02.08.00.00;Ingresos petroleros extraordinarios
3.02.08.01.00;Regalías
3.02.08.01.01;Regalías petroleras privadas
3.02.08.01.02;Regalías petroleras públicas – crudos y condensados
3.02.08.01.03;Regalías petroleras públicas – extrapesado para orimulsión
3.02.08.01.04;Regalías del gas empresas privadas
3.02.08.01.05;Regalías del gas empresas públicas
3.02.08.02.00;Impuesto superficial de hidrocarburos
3.02.08.03.00;Impuesto de extracción
3.02.08.04.00;Impuesto de registro de exportación
3.02.08.05.00;Participación por azufre
3.02.08.06.00;Participación por coque
3.02.08.07.00;Ventajas especiales petroleras
3.02.08.08.00;Impuesto al consumo propio de gasolina
3.02.08.09.00;Impuesto al consumo general a la gasolina
3.02.08.10.00;Impuesto al consumo propio de otros derivados del petróleo
3.02.08.11.00;Impuesto al consumo general de otros derivados del petróleo
3.02.08.12.00;Impuesto al consumo propio de hidrocarburos gaseosos
3.02.08.99.00;Otros ingresos petroleros extraordinarios
3.02.99.00.00;Otros ingresos extraordinarios
3.02.99.01.00;Otros ingresos extraordinarios
3.03.00.00.00;INGRESOS DE OPERACIÓN
3.03.01.00.00;Venta bruta de bienes
3.03.01.01.00;Venta de productos del sector industrial
3.03.01.02.00;Venta de productos del sector comercial
3.03.02.00.00;Venta bruta de servicios
3.03.02.01.00;Venta bruta de servicios
3.03.03.00.00;Ingresos financieros de instituciones financieras bancarias
3.03.03.01.00;Ingresos por inversiones en valores
3.03.03.02.00;Ingresos por cartera de créditos
3.03.03.03.00;Ingresos provenientes de la administración de fideicomisos
3.03.03.99.00;Otros ingresos financieros
3.03.04.00.00;Ingresos financieros de instituciones financieras no bancarias
3.03.04.01.00;Ingresos por inversiones en valores
3.03.04.02.00;Ingresos por cartera de créditos
3.03.04.03.00;Ingresos provenientes de la administración de fideicomisos
3.03.04.99.00;Otros ingresos financieros
3.03.05.00.00;Ingresos por operaciones de seguro
3.03.05.01.00;Ingresos por operaciones de primas de seguro
3.03.05.02.00;Ingresos por operaciones de reaseguro
3.03.05.03.00;Ingresos por salvamento de siniestros
3.03.05.99.00;Otros ingresos por operaciones de seguro
3.03.99.00.00;Otros ingresos de operación
3.03.99.01.00;Otros ingresos de operación
3.04.00.00.00;INGRESOS AJENOS A LA OPERACIÓN
3.04.01.00.00;Subsidios para precios y tarifas
3.04.01.01.00;Subsidios para precios y tarifas
3.04.02.00.00;Incentivos a la exportación
3.04.02.01.00;Incentivos a la exportación
3.04.99.00.00;Otros ingresos ajenos a la operación
3.04.99.01.00;Otros ingresos ajenos a la operación
3.05.00.00.00;TRANSFERENCIAS Y DONACIONES
3.05.01.00.00;Transferencias y donaciones corrientes
3.05.01.01.00;Transferencias corrientes internas del sector privado
3.05.01.01.01;Transferencias corrientes internas de personas
3.05.01.01.02;Transferencias corrientes internas de instituciones sin fines de lucro
3.05.01.01.03;Transferencias corrientes internas de empresas privadas
3.05.01.02.00;Donaciones corrientes internas del sector privado
3.05.01.02.01;Donaciones corrientes internas de personas
3.05.01.02.02;Donaciones corrientes internas de instituciones sin fines de lucro
3.05.01.02.03;Donaciones corrientes internas de empresas privadas
3.05.01.03.00;Transferencias corrientes internas del sector público
3.05.01.03.01;Transferencias corrientes internas de la República
3.05.01.03.02;Transferencias corrientes internas de entes descentralizados sin fines empresariales
3.05.01.03.03;Transferencias corrientes internas de instituciones de protección social
3.05.01.03.04;Transferencias corrientes internas de entes descentralizados con fines empresariales petroleros
3.05.01.03.05;Transferencias corrientes internas de entes descentralizados con fines empresariales no petroleros
3.05.01.03.06;Transferencias	corrientes	internas	de	entes	descentralizados financieros bancarios
3.05.01.03.07;Transferencias	corrientes	internas	de	entes	descentralizados financieros no bancarios
3.05.01.03.08;Transferencias corrientes internas del Poder Estadal
3.05.01.03.09;Transferencias corrientes internas del Poder Municipal
3.05.01.03.99;Otras transferencias corrientes internas del sector público
3.05.01.04.00;Donaciones corrientes internas del sector público
3.05.01.04.01;Donaciones corrientes internas de la República
3.05.01.04.02;Donaciones corrientes internas de entes descentralizados sin fines empresariales
3.05.01.04.03;Donaciones corrientes internas de instituciones de protección social
3.05.01.04.04;Donaciones corrientes internas de entes descentralizados con fines empresariales petroleros
3.05.01.04.05;Donaciones corrientes internas de entes descentralizados con fines empresariales no petroleros
3.05.01.04.06;Donaciones corrientes internas de entes descentralizados financieros bancarios
3.05.01.04.07;Donaciones corrientes internas de entes descentralizados financieros no bancarios
3.05.01.04.08;Donaciones corrientes internas del Poder Estadal
3.05.01.04.09;Donaciones corrientes internas del Poder Municipal
3.05.01.05.00;Transferencias corrientes del exterior
3.05.01.05.01;Transferencias corrientes de instituciones sin fines de lucro
3.05.01.05.02;Transferencias corrientes de gobiernos extranjeros
3.05.01.05.03;Transferencias corrientes de organismos internacionales
3.05.01.06.00;Donaciones corrientes del exterior
3.05.01.06.01;Donaciones corrientes de personas
3.05.01.06.02;Donaciones corrientes de instituciones sin fines de lucro
3.05.01.06.03;Donaciones corrientes de gobiernos extranjeros
3.05.01.06.04;Donaciones corrientes de organismos internacionales
3.05.02.00.00;Transferencias y donaciones de capital
3.05.02.01.00;Transferencias de capital internas del sector privado
3.05.02.01.01;Transferencias de capital internas de personas
3.05.02.01.02;Transferencias de capital internas de instituciones sin fines de lucro
3.05.02.01.03;Transferencias de capital internas de empresas privadas
3.05.02.02.00;Donaciones de capital internas del sector privado
3.05.02.02.01;Donaciones de capital internas de personas
3.05.02.02.02;Donaciones de capital internas de instituciones sin fines de lucro
3.05.02.02.03;Donaciones de capital internas de empresas privadas
3.05.02.03.00;Transferencias de capital internas del sector público
3.05.02.03.01;Transferencias de capital internas de la República
3.05.02.03.02;Transferencias de capital internas de entes descentralizados sin fines empresariales
3.05.02.03.03;Transferencias de capital internas de instituciones de protección social
3.05.02.03.04;Transferencias de capital internas de entes descentralizados con fines empresariales petroleros
3.05.02.03.05;Transferencias de capital internas de entes descentralizados con fines empresariales no petroleros
